Time(s),HeartRate(1/min),OxygenSaturation,MeanArterialPressure(mmHg),CardiacOutput(mL/min)
2.18,72.006378,0.973994,95.332234,5786.864585
2.20,72.006378,0.973995,95.332234,5786.864585
2.22,72.006378,0.973995,95.332234,5786.864585
2.24,72.006378,0.973996,95.332234,5786.864585
2.26,72.006378,0.973997,95.332234,5786.864585
2.28,72.006378,0.973997,95.332234,5786.864585
2.30,72.006378,0.973997,95.332234,5786.864585
2.32,72.006378,0.973998,95.332234,5786.864585
2.34,72.006378,0.973998,95.332234,5786.864585
2.36,72.006378,0.973998,95.332234,5786.864585
2.38,72.006378,0.973999,95.332234,5786.864585
2.40,72.006378,0.973999,95.332234,5786.864585
2.42,72.006378,0.973999,95.332234,5786.864585
2.44,72.006378,0.973999,95.332234,5786.864585
2.46,72.006378,0.973999,95.332234,5786.864585
2.48,72.006378,0.973999,95.332234,5786.864585
2.50,72.006378,0.973999,95.332234,5786.864585
2.52,72.006378,0.973999,95.332234,5786.864585
2.54,72.006378,0.973999,95.332234,5786.864585
2.56,72.006378,0.973999,95.332234,5786.864585
2.58,72.006378,0.973999,95.332234,5786.864585
2.60,72.006378,0.973999,95.332234,5786.864585
2.62,72.006378,0.973999,95.332234,5786.864585
2.64,72.006378,0.973999,95.332234,5786.864585
2.66,72.006378,0.973999,95.332234,5786.864585
2.68,72.006378,0.973999,95.332234,5786.864585
2.70,72.006378,0.973999,95.332234,5786.864585
2.72,72.006378,0.973999,95.332234,5786.864585
2.74,72.006378,0.973999,95.332234,5786.864585
2.76,72.006378,0.973999,95.332234,5786.864585
2.78,72.006378,0.973999,95.332234,5786.864585
2.80,72.006378,0.973999,95.332234,5786.864585
2.82,72.006378,0.973999,95.332234,5786.864585
2.84,72.006378,0.973999,95.332234,5786.864585
2.86,72.006378,0.973999,95.332234,5786.864585
2.88,72.006378,0.973999,95.332234,5786.864585
2.90,72.006378,0.973999,95.332234,5786.864585
2.92,72.007969,0.973999,95.331767,5786.972176
2.94,72.007969,0.973999,95.331767,5786.972176
2.96,72.007969,0.973999,95.331767,5786.972176
2.98,72.007969,0.973999,95.331767,5786.972176
3.00,72.007969,0.973999,95.331767,5786.972176
3.02,72.007969,0.974003,95.331767,5786.972176
3.04,72.007969,0.974009,95.331767,5786.972176
3.06,72.007969,0.974016,95.331767,5786.972176
3.08,72.007969,0.974023,95.331767,5786.972176
3.10,72.007969,0.974029,95.331767,5786.972176
3.12,72.007969,0.974034,95.331767,5786.972176
3.14,72.007969,0.974039,95.331767,5786.972176
3.16,72.007969,0.974042,95.331767,5786.972176
3.18,72.007969,0.974045,95.331767,5786.972176
3.20,72.007969,0.974048,95.331767,5786.972176
3.22,72.007969,0.974050,95.331767,5786.972176
3.24,72.007969,0.974052,95.331767,5786.972176
3.26,72.007969,0.974054,95.331767,5786.972176
